datum,prirustkovy_pocet_testu,kumulativni_pocet_testu
2020-09-10,15948,1031961
2020-09-11,19186,1051147
2020-09-12,13052,1064199
2020-09-13,7091,1071290
2020-09-14,17477,1088767
2020-09-15,20260,1109027
2020-09-16,20326,1129353
2020-09-17,23090,1152443
2020-09-18,20569,1173012
2020-09-19,14785,1187797
